,brewery_name,address,brewery_page_url,list_order,page_num
91,Hop and Sting Brewing Company,"906 Jean St Grapevine TX 76051, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967a8,,1
92,HopFusion Ale Works,"200 East Broadway Fort Worth TX 76104, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967a9,,1
93,Hopsquad Brewing Company,"2307 Kramer Lane Austin TX 78758, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c06215737065,,1
94,Hound Song Brewing Co.,"535 Walnut Street Columbus TX 78934, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967fb,,1
95,Humble Pint Brewing Co.,"4105 Flower Pot Cv Round Rock TX 78681, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fad76a2e2565a01fb13b848,,1
96,Infamous Brewing Company,"4602 Weletka Dr, #300 Austin TX 78734, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967ab,,1
97,Ingenious Brewing Company,"1986 S. Houston Ave Humble TX 77396, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967ac,,1
98,Intrinsic Brewing,"509 W State St Garland TX 75040, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496782,,1
99,Iron Bridge Ice House,"601 Chestnut St #E Bastrop TX 78602, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496824,,1
100,Iron Gauntlet Brauhaus,"400 Cheyenne Dr. Killeen TX 76542, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949683c,,1
101,Ivanhoe Ale Works,"220 W Main St. Denison TX 75020, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60fe355151c5835d2b081212,,1
102,Jester King Brewery,"13187 Fitzhugh Road, Building B Austin Texas 78736",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967ad,,1
103,Künstler Brewing,302 East Lachapelle San Antonio Texas 78210,https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9445a0c06215737074,,1
104,Krootz Brewing Company,"315 West Elm St. Gainesville TX 76240, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/612e8769ad4881785864c67b,,1
105,La Grange Brewing Company,"6002 FM 2981 La Grange, TX 78945",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fc7bdf544ede00aea1bfee1,,1
106,LAKE HOUSTON BREWERY,"10614 FM 1960 Huffman TX 77336, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/6122d4ddb19a5807da2ffa83,,1
107,LAKEWOOD BREWING COMPANY,"2302 Executive Dr. Garland TX 75041, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c06215737066,,1
108,Last Stand Brewing Company - Pauls Valley,"12345 Pauls Valley Rd, Building i Austin TX 78737, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967c7,,1
109,Lazarus Brewing Co.,"1902 E 6th St Austin TX 78702, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967cb,,1
110,Lazy Beach Brewing,"7522 Bichon, 100 Corpus Christi TX 78414, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de9496775,,1
111,Legal Draft Beer Co.,"500 E. Division St., Suite 100 Arlington TX 76011, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496796,,1
112,Live Oak Brewing Company,"1615 Crozier Lane Del Valle TX 78617, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496784,,1
